Participant #,Initials,Age,"Familiarity Level (0-Recently Fam, 1-Personally Fam)",Condition 1_Upright_Frame time,Condition 1_Upright_Frame (ms),Condition 1_Upright RT (ms),Condition 1_Inverted_Frame Time,Condition 1_Inverted_Frame (ms),Condition 1_Inverted RT (ms),Condition 2_Upright_Frame Time,Condition 2_Upright_Frame (ms),Condition 2_Upright RT (ms),Condition 2_Inverted_Frame Time,Condition 2_Inverted_Frame (ms),Condition 2_Inverted RT (ms),Condition 3_Upright_Frame time,Condition 3_Upright_Frame (ms),Condition 3_Upright RT (ms),Condition 3_Inverted_Frame time,Condition 3_Inverted_Frame (ms),Condition 3_Inverted  RT (ms)
1,LS,31,1,3,25.0,0.3011,9.65,80.4,0.3087,2.1,17.5,0.2846,6.4,53.3,0.2642,4.7,39.2,0.2871,4.4,36.7,0.29
2,AM,37,1,8.7,72.5,0.4038,12.3,102.5,0.3804,5.75,47.9,0.399,3.3,27.5,0.328,2.4,20.0,0.3696,2.6,21.7,0.4243
3,AKM,36,1,6.15,51.3,0.4268,15.25,127.1,0.7355,4.3,35.8,0.6814,7.65,63.8,0.3419,2.5,20.8,0.4422,13.2,110.0,0.5283
4,WJ,62,1,10.55,87.9,1.1058,25.75,214.6,1.0497,5.25,43.8,1.1129,12.4,103.3,1.157,2.55,21.3,1.0158,7.5,62.5,1.0633
5,RJ,60,1,6.55,54.6,0.7301,10,83.3,0.6664,5.2,43.3,0.6235,12.05,100.4,0.7742,2.3,19.2,0.7074,3.2,26.7,0.7051
6,SH,54,1,2.25,18.8,0.4088,16.2,135.0,0.4308,2.6,21.7,0.3823,6.05,50.4,0.422,4.35,36.3,0.3392,1.85,15.4,0.3822
7,IH,18,1,7.75,64.6,0.2735,12.15,101.3,0.354,3.4,28.3,0.3251,3.95,32.9,0.3714,8.05,67.1,0.2412,5.3,44.2,0.3274
8,EA,37,1,12.13,101.1,0.3359,14.83,123.6,0.3642,7.97,66.4,0.2948,6.07,50.6,0.3664,2.83,23.5,0.3046,5.1,42.5,0.2994
9,KM1,37,0,5.2,43.3,1.2418,24.2,201.7,1.1514,8,66.7,0.9797,14.75,122.9,1.1654,2.2,18.3,1.0899,13.4,111.7,1.2365
10,ER,18,0,2.25,18.8,0.5436,2.8,23.3,0.5132,2,16.7,0.528,5.65,47.1,0.5216,1.85,15.4,0.4824,2.05,17.1,0.5367
11,JN,50,0,11.75,97.9,0.4217,14.9,124.2,0.4366,7.05,58.8,0.4247,7.8,65.0,0.4263,7.05,58.8,0.4223,4.45,37.1,0.4049
12,JB,48,0,12,100.0,0.4472,18.75,156.3,0.469,10.3,85.8,0.4245,18.4,153.3,0.3751,5.15,42.9,0.383,14,116.7,0.3855
13,KO,33,0,9.1,75.8,0.9416,12.25,102.1,1.1487,7.45,62.1,0.8361,7.85,65.4,0.9026,4.85,40.4,0.8085,4.65,38.8,0.7745
14,JR,48,0,9.75,81.3,0.4747,7.15,59.6,0.5005,3.35,27.9,0.4544,10.5,87.5,0.5109,3.2,26.7,0.464,3.75,31.3,0.4114
15,KG,50,0,6,50.0,0.5843,13.7,114.2,0.7677,6.05,50.4,0.5622,22.4,186.7,0.7273,2.4,20.0,0.5971,10.05,83.8,0.6664
16,JT,53,0,7.3,60.8,0.6683,24.25,202.1,0.6218,3,25.0,0.6,4,33.3,0.6956,3.4,28.3,0.609,2.35,19.6,0.7234
17,KD,41,1,1.9,15.8,0.709,9.85,82.1,0.6201,4.25,35.4,0.6791,1.8,15.0,0.6666,2,16.7,0.6698,3.55,29.6,0.731
18,NP,48,0,8.25,68.8,0.6765,18.75,156.3,0.8823,2.6,21.7,0.7341,17.75,147.9,0.7875,2.05,17.1,0.7218,2.05,17.1,0.8163
19,RG,29,1,4.6,38.3,0.5305,15.1,125.8,0.5662,6.85,57.1,0.4647,12.8,106.7,0.5176,5.5,45.8,0.4778,4.5,37.5,0.5549
21,HH,46,0,2.85,23.8,0.7363,13.5,112.5,0.8424,7.7,64.2,0.7046,4.45,37.1,0.8134,2.05,17.1,0.7557,4,33.3,0.8886
22,LD,42,1,2.55,21.3,0.3765,19.65,163.8,0.4367,2.5,20.8,0.3353,11.2,93.3,0.469,4.3,35.8,0.3751,3.7,30.8,0.3349
23,CF,55,1,7.2,60.0,0.683,19.45,162.1,0.7241,3.25,27.1,0.637,7.3,60.8,0.7264,2,16.7,0.662,3.4,28.3,0.8317
24,AP,65,0,7.95,66.3,0.6604,11.45,95.4,0.6719,9.2,76.7,0.6554,9.15,76.3,0.7211,2.1,17.5,0.6873,3.05,25.4,0.7558
25,EC,29,1,12.9,107.5,0.2697,16.05,133.8,0.295,5.65,47.1,0.3268,6.5,54.2,0.3235,2.25,18.8,0.2844,14.2,118.3,0.3167
27,JS,24,1,11.55,96.3,0.5171,11.15,92.9,0.5491,9,75.0,0.548,9.95,82.9,0.5462,5.25,43.8,0.4926,14.95,124.6,0.5333
28,CH,50,0,3.2,26.7,0.5625,10.6,88.3,0.6861,2.3,19.2,0.5433,3.3,27.5,0.5353,2.05,17.1,0.4824,1.9,15.8,0.4692
29,SP,49,0,7.8,65.0,0.5109,23.3,194.2,0.589,4.45,37.1,0.5319,5.4,45.0,0.4913,14.75,122.9,0.7079,6.95,57.9,0.5551
30,DA,56,1,2.4,20.0,0.2296,7.75,64.6,0.2117,5.6,46.7,0.2342,7.2,60.0,0.2068,2.45,20.4,0.1949,2,16.7,0.2141
