Row,Unfamiliar_Upright,Unfamiliar_Inverted,Familiar_Upright,Familiar_Inverted,Self_Upright,Self_Inverted
AG,29.6,51.7,46,26.5,30.6,27.8
AKM,4.6,12.7,3.7,7.6,2.5,12.8
AM,7.3,12.2,2.7,3.1,2.2,2.4
AP,7.9,11.5,7.1,7.1,1.9,2.1
CF,7.7,19.3,3,7.2,2,3
CG,29.1,43.5,25,31.7,24.3,24.6
CH,3,10.5,2,3.3,2.1,1.8
DA,2.1,6.9,2.6,6.7,2.5,1.9
EA,12.6,13.9,7.8,3.7,2.1,4.1
EC,13.8,15.2,3.6,5.4,2.2,12.8
ER,2.2,2.5,1.8,2.3,1.8,2.1
HH,2.6,13.8,7.8,2.6,1.8,3.6
IH,6.1,12.7,2.6,3.8,6.1,3.6
JB,13.2,19.4,10.5,15.4,4.4,14.7
JN,12,14.1,6.1,6.6,6.6,2.6
JR,9.7,6.7,2.8,10.4,3,3.7
JS,9.6,10,7.9,9.1,5.6,12.9
JT,5.1,24.4,2.6,2.8,3.6,2.1
KD,1.9,10.2,2.3,1.8,2,2
KG,5.3,14.1,3.5,22,2.3,9.2
KM1,3.7,23.6,7.8,16.6,2.1,4.6
KO,8.9,12.9,5.8,8.3,4.4,3.3
LD,2.5,19.6,1.8,10.6,3.6,3
LS,2.5,9.9,2.1,5.7,2,2.9
NP,4.9,16.4,2.4,17.7,1.8,2
RG,4.2,15.2,7.1,13.2,5,4.4
RJ,4.7,8.7,4.5,12.2,1.9,2.8
SH,2.3,19.2,1.9,5.7,3.2,1.8
SP,7.9,22.6,2.9,4.8,15.6,6.7
WJ,10.6,21.7,4.4,12.4,2.4,7.4
