Row,Unfamiliar_Upright,Unfamiliar_Inverted,Familiar_Upright,Familiar_Inverted,Self_Upright,Self_Inverted
AG,0.465807557106018,0.435925006866455,0.441118955612183,0.433578491210938,0.482307910919189,0.413450002670288
AKM,0.372066974639893,0.723885536193848,0.644351482391357,0.317300081253052,0.445284128189087,0.504961967468262
AM,0.336828947067261,0.359519600868225,0.361073017120361,0.308920979499817,0.359135985374451,0.385900020599365
AP,0.63243293762207,0.64126992225647,0.624909520149231,0.69686484336853,0.662214994430542,0.71519148349762
CF,0.582502126693726,0.668384075164795,0.575085520744324,0.644567012786865,0.577540874481201,0.730247974395752
CG,0.604667901992798,0.578728079795837,0.434745788574219,0.386585831642151,0.684497952461243,0.526682138442993
CH,0.443095445632935,0.565451622009277,0.50373113155365,0.433802127838135,0.372714996337891,0.405352115631104
DA,0.206321954727173,0.191829562187195,0.215825080871582,0.194886207580566,0.184149980545044,0.195324897766113
EA,0.297630906105042,0.316942453384399,0.268303036689758,0.347540020942688,0.283871173858643,0.281012058258057
EC,0.247070908546448,0.275004863739014,0.311658978462219,0.302472114562988,0.271949052810669,0.284473061561584
ER,0.474148035049438,0.434180974960327,0.46151340007782,0.459913015365601,0.417013883590698,0.472119569778442
HH,0.684476017951965,0.713536024093628,0.588443040847778,0.649590969085693,0.617422461509705,0.719802141189575
IH,0.22980785369873,0.314163565635681,0.283241987228394,0.340502023696899,0.216166973114014,0.307183980941772
JB,0.412318468093872,0.429213047027588,0.384317874908447,0.320337891578674,0.350247859954834,0.364271998405457
JN,0.383080959320068,0.391271948814392,0.394558548927307,0.391832828521729,0.388100147247314,0.387731909751892
JR,0.42741584777832,0.455636143684387,0.411175489425659,0.432991027832031,0.416466474533081,0.387397050857544
JS,0.39012598991394,0.475260972976685,0.467158317565918,0.438439965248108,0.392714023590088,0.448545217514038
JT,0.57827353477478,0.492828130722046,0.533055067062378,0.566279053688049,0.488639950752258,0.583790421485901
KD,0.562235474586487,0.546150922775269,0.571552038192749,0.564999580383301,0.55152702331543,0.565716981887817
KG,0.534538865089417,0.694173574447632,0.523581862449646,0.631139516830444,0.490006923675537,0.573108196258545
KM1,1.042067527771,1.02616286277771,0.779546618461609,1.00977396965027,0.973997116088867,1.06011509895325
KO,0.758957386016846,0.898163914680481,0.678960919380188,0.745721101760864,0.614305019378662,0.67754065990448
LD,0.336364388465881,0.375778913497925,0.29947292804718,0.407321929931641,0.356642007827759,0.309742450714111
LS,0.257703065872192,0.254625797271729,0.254503011703491,0.20445990562439,0.248516440391541,0.257622003555298
NP,0.64068603515625,0.835926532745361,0.662030220031738,0.741988897323608,0.638864517211914,0.749594211578369
RG,0.473711967468262,0.476418018341064,0.418271064758301,0.428876876831055,0.430531024932861,0.475818634033203
RJ,0.533400058746338,0.528264999389648,0.47846508026123,0.600867986679077,0.525468826293945,0.511903524398804
SH,0.34321403503418,0.333018064498901,0.325956463813782,0.343101978302002,0.270758986473083,0.3090660572052
SP,0.448988556861877,0.448419451713562,0.446469068527222,0.434305906295776,0.507905960083008,0.459532499313354
WJ,0.947572946548462,0.935762405395508,0.948485493659973,0.947986960411072,0.890193581581116,0.920943021774292
